request,rtt_ms,db_latency_ms,non_db_delay_ms
489,4.11,0.24,3.87
490,3.73,0.14,3.59
491,4.14,0.15,3.99
492,4.91,0.17,4.74
493,5.66,0.16,5.5
494,10.77,0.36,10.41
495,5.54,0.27,5.27
496,5.87,0.2,5.67
497,3.91,0.14,3.77
498,4.11,0.17,3.94
499,4.08,0.18,3.9
500,9.21,0.42,8.79
